,Unnamed: 0,dms_id,repeat,envision_spear,envision_pears,envision_rmse,wu2019_spear,wu2019_pears,wu2019_rmse,lasso_spear,lasso_pears,lasso_rmse,fdms_spear,fdms_pears,fdms_rmse,row-mean_spear,row-mean_pears,row-mean_rmse,ensemble_spear,ensemble_pears,ensemble_rmse,vefill-max_spear,vefill-max_pears,vefill-max_rmse,vefill-min_spear,vefill-min_pears,vefill-min_rmse,5nn-blosum100_pears,5nn-functional_pears
653,653,urn:mavedb:00000001-a-2,0,0.5968369199,0.6425781288,0.3320525383,0.6957930915,0.7029481591,0.3214456894,0.3686163978,0.4027861171,0.3967172044,0.5569095152,0.5955023264,0.3909982213,0.655288681,0.6613430728,0.3336292492,0.711498574,0.7331134752,0.2962148677,,,,,0.7589192156,0.3647240824,0.5569313464,0.617983361
327,327,urn:mavedb:00000001-a-3,0,0.6194760524,0.5288637942,0.3346361519,0.607568402,0.5705315721,0.319706217,0.6312452791,0.558287249,0.3242502538,0.6231979403,0.5514655492,0.3262804196,0.6196909727,0.5356109924,0.3301622899,0.6610041381,0.5903765838,0.3159603303,,,,,0.62015983,0.4006338646,0.6046863218,0.6544005347
19,19,urn:mavedb:00000001-b-2,0,0.6015464998,0.6074607746,0.2452166279,0.5893529225,0.6191190241,0.2448073226,0.6378066854,0.6464024469,0.2353298022,0.6482287492,0.6360423927,0.2388351626,0.6309676363,0.6414666986,0.2384009194,0.6536823526,0.656723881,0.2325875092,,,,,0.7218387113,0.4700376629,0.655826858,0.7385913025
337,337,urn:mavedb:00000001-d-1,0,0.2956984141,0.29645049,0.2645031898,0.2246305649,0.2064729757,0.2711515346,0.2786130561,0.2756331334,0.2668993254,0.2352118753,0.2357163871,0.2780508178,0.1449306865,0.139252388,0.2826111482,0.3167380895,0.3220785523,0.262191177,,0.4173458391,0.5592369199,,0.3486435829,0.5725386773,0.1846537724,0.2842069848
373,373,urn:mavedb:00000003-a-2,0,0.3365439433,0.4580599988,0.259461298,0.3500825167,0.4491169435,0.2666129985,0.3627003057,0.4896614939,0.2535392172,0.3488763609,0.4236950528,0.2870677807,0.2910242806,0.4280515978,0.2653721483,0.3870453098,0.5279512812,0.2472036025,,0.5975793516,0.3637974857,,0.7053238845,0.3614497557,0.5412003422,0.5604132585
294,294,urn:mavedb:00000003-b-2,0,0.2933660763,0.5310266445,0.1887489011,0.3352713669,0.5281595657,0.2014364838,0.3661690873,0.4731782467,0.19676921,0.337406474,0.4551685539,0.2193875372,0.3215203847,0.5155925301,0.1909387617,0.3777857826,0.5598119502,0.1846845186,,0.5947219929,4.443739072,,0.657971852,4.251390932,0.4735809503,0.5246962691
552,552,urn:mavedb:00000005-a-5,0,0.4810981654,0.5067040434,0.4058973902,0.404273412,0.4412378241,0.4239385776,0.4103617788,0.428578747,0.4277073779,0.3979583564,0.4100937416,0.4384446248,0.4125298087,0.441118273,0.4292216888,0.4753187844,0.4980585382,0.4085113503,,0.5227236756,0.3967382006,,0.525484971,0.4162441817,0.3632268949,0.4377970807
348,348,urn:mavedb:00000005-a-6,0,0.5195519329,0.5384096975,0.389231762,0.4588641554,0.485724329,0.4071379412,0.4593424264,0.4670518536,0.4085923111,0.4535181305,0.4682971149,0.4118676581,0.4463784883,0.4696431124,0.4074201574,0.5152623236,0.5499154476,0.3859364419,,0.5595695537,0.3792838778,,0.5475340669,0.3853900055,0.3536165972,0.4434545046
212,212,urn:mavedb:00000013-b-1,0,0.5931785179,0.696273388,0.204563633,0.5840182833,0.6581956008,0.2191146285,0.5691317245,0.676320885,0.2105126105,0.5381201456,0.6532820683,0.2210752471,0.5171666191,0.5734128414,0.234843967,0.6123754454,0.7130764049,0.2005686322,,,,,0.7146352026,0.2636556866,0.588070042,0.6789976846
502,502,urn:mavedb:00000041-a-1,0,0.8368302135,0.8062008788,0.357178718,0.7388788066,0.6979042848,0.4420012765,0.8155125271,0.7775964259,0.3882240466,0.8130751812,0.7733732423,0.3912056789,0.7690830671,0.7630041754,0.3916954428,0.847582753,0.8216837723,0.3427898044,,,,,0.7942631111,0.3751226527,0.6759552251,0.7030298298
224,224,urn:mavedb:00000041-b-1,0,0.2266106443,0.2516929285,0.4494159608,0.2364145658,0.103005749,0.4433630415,0.4955182073,0.5192434238,0.4024821679,0.4008403361,0.4616068598,0.3690050039,0.1429277743,0.0668914287,0.4898698668,0.6075630252,0.6488205893,0.333199659,,,,,0.2493062662,0.3901640189,0.633124302,0.8774666268
590,590,urn:mavedb:00000043-a-1,0,0.19646098,0.1604001623,0.2962874004,0.4168665336,0.2684966019,0.2848095069,0.1847938813,0.3902755001,0.2761468934,0.1702100078,0.2533533556,0.2913101341,0.3035698405,0.4082399645,0.2739023803,0.2516852476,0.2454030931,0.2888064213,,0.4835006251,0.562375166,,0.7053490982,0.6768087099,0.6461650401,0.8329136825
48,48,urn:mavedb:00000045-a-1,0,0.3087515803,0.4933768786,0.1970455487,0.0845109299,0.3195210839,0.2163560886,0.1883217446,0.4610505415,0.1985638326,0.1494279393,0.4156576188,0.213127701,0.1097346888,0.2527772354,0.2201773314,0.2239780868,0.5323372785,0.1895231511,,0.647060725,0.2317321823,,0.608074559,0.2164570548,0.4052247476,0.6185125245
704,704,urn:mavedb:00000045-b-1,0,0.2412319796,0.5552030202,0.1958973611,0.2397813809,0.4544041421,0.2178933945,0.2692447317,0.4584027578,0.2095259019,0.3296486933,0.5660405564,0.2073398372,0.2664465315,0.5024739568,0.2036330162,0.2704622016,0.6181549339,0.1850290034,,0.5953679503,0.24379447,,0.8106244734,0.1789954822,0.588696491,0.6914551072
474,474,urn:mavedb:00000045-c-1,0,0.5836787976,0.7826794615,0.1213729401,0.2757377758,0.452541124,0.1789373619,0.6069662662,0.801369672,0.1167436287,0.5724155794,0.786439176,0.1255677709,0.2971145017,0.4588276893,0.1730692902,0.596986483,0.8284577811,0.109534587,,0.9054366766,0.109551387,,0.8563508516,0.1285039701,0.6685994703,0.8331963528
153,153,urn:mavedb:00000045-d-1,0,0.6345293113,0.8761590671,0.1100677825,0.3456178161,0.6975123341,0.1716951229,0.6258848661,0.8363427259,0.1263667034,0.6451549991,0.8577972284,0.1228487237,0.2789651958,0.6241958375,0.1793815434,0.6691815595,0.8940306849,0.1023819403,,0.8869292619,0.1308948562,,0.8900656945,0.1099072426,0.7314883612,0.8556856137
266,266,urn:mavedb:00000045-e-1,0,0.3241353336,0.5142293047,0.1629818436,0.2429611263,0.4811020539,0.175264999,0.2307797328,0.4759280855,0.1667624501,0.2531102881,0.4559616471,0.1954924376,0.1913438426,0.399597499,0.1749400779,0.2525830142,0.5382529465,0.1613323378,,0.4715071549,0.250353001,,0.8025856547,0.1715990321,0.5908364726,0.6761402993
387,387,urn:mavedb:00000045-f-1,0,0.4207838139,0.6227336045,0.1740214479,0.3504866817,0.4733754954,0.203958095,0.3981562772,0.554335466,0.1838860052,0.4568653594,0.5917317962,0.1861764211,0.3189927201,0.4434218389,0.1977419225,0.3763840266,0.6296763988,0.1721172639,,0.58377665,0.2157790537,,0.5644155474,0.2183209763,0.4464261229,0.6071809246
610,610,urn:mavedb:00000045-g-1,0,0.6567983305,0.8798457272,0.1283004389,0.366532069,0.6697683934,0.2111756594,0.6386856384,0.8641441302,0.1378870148,0.6295852779,0.8600430895,0.1457490278,0.289289187,0.6313049934,0.2096559652,0.678600645,0.8936100535,0.1211052237,,0.9065935767,0.1405688922,,0.8878428878,0.1287601418,0.786478142,0.8762699625
471,471,urn:mavedb:00000045-h-1,0,0.5468587951,0.774108718,0.1467381278,0.2515874017,0.4981684917,0.2147448746,0.5800907387,0.8071392847,0.1377530636,0.5477020029,0.7775551018,0.1532962693,0.2217380785,0.4663661085,0.2059164634,0.6352215042,0.818212046,0.1329348503,,0.8696881406,0.144996361,,0.8563876894,0.1357930133,0.7316356059,0.8338976375
706,706,urn:mavedb:00000045-i-1,0,0.4840091064,0.8308381883,0.1064023935,0.3305307867,0.6988506592,0.1499460956,0.4779290457,0.7413685174,0.1284655248,0.4380481882,0.812669204,0.1193381703,0.2496047921,0.6041490565,0.152392061,0.4685312085,0.8582163433,0.09799825859,,0.9064484165,0.1207489762,,0.8583829199,0.1321690229,0.5717623456,0.6758282696
47,47,urn:mavedb:00000045-j-1,0,0.4134591244,0.4977590054,0.1967782743,0.2245744851,0.2677710907,0.2184236873,0.3726425221,0.535917678,0.1892971673,0.32676101,0.5150399636,0.1957280604,0.1854150756,0.2542688319,0.2225000333,0.4027606461,0.5364767099,0.1897098968,,0.7077898331,0.1797983643,,0.6158496134,0.2098386196,0.585365318,0.6908741063
209,209,urn:mavedb:00000045-k-1,0,0.5976412651,0.7537239318,0.08081070941,0.3116666547,0.4814969985,0.13381597,0.5668368087,0.7350846564,0.08478926858,0.5635304356,0.7101835472,0.1025521852,0.2354693235,0.3811255376,0.1143687978,0.6150134177,0.7779614231,0.07748565567,,0.8690879084,0.2016033483,,0.8262785236,0.1654561976,0.7950237645,0.8753536875
613,613,urn:mavedb:00000045-l-1,0,0.3508126543,0.5814062734,0.1943158736,0.1986384993,0.3009863237,0.2369729477,0.4052292535,0.6414521395,0.1822349544,0.4182747355,0.6282712523,0.1881705134,0.1866341292,0.2614690397,0.2330793753,0.3725776553,0.6182946874,0.1872528424,,0.7362004611,0.2179453174,,0.5780560208,0.2026874826,0.6067566967,0.6905470925
336,336,urn:mavedb:00000047-a-1,0,0.5486375946,0.5841388853,0.2044606406,0.4894100806,0.5183202221,0.2221739009,0.5512515274,0.6088540673,0.1991703867,0.5349040977,0.6011124962,0.20485099,0.4513292373,0.4584493819,0.2241078735,0.600606898,0.6523299601,0.1914609578,,,,,0.6477970651,0.4736025282,0.4927749627,0.6416807628
416,416,urn:mavedb:00000047-b-1,0,0.5210983711,0.5147850447,0.2477714007,0.4979780882,0.4571940833,0.2612504151,0.5805312271,0.5520391528,0.240766304,0.5081985335,0.4631706044,0.2605149531,0.421732894,0.397421542,0.2663551534,0.6103320019,0.5833025187,0.2348835368,,,,,0.5235991597,0.5937033657,0.4102711934,0.6365047602
579,579,urn:mavedb:00000047-c-1,0,0.5487019183,0.5911769299,0.2668382868,0.4393198653,0.4577520642,0.2987730697,0.5295576843,0.5350713832,0.2793328633,0.4935735878,0.4968454914,0.2935335232,0.336913236,0.3262491976,0.3199157392,0.5744426143,0.6004209499,0.2650297824,,,,,0.5711769251,0.6171352126,0.4509790636,0.5752413515
716,716,urn:mavedb:00000048-a-1,0,0.5042693948,0.5988989613,0.2006425196,0.4159377409,0.4866264188,0.2252991008,0.5061435241,0.5893328054,0.2030043506,0.4729611265,0.5369375536,0.2136870003,0.3995328372,0.4543398637,0.2233050403,0.5374290841,0.6193373382,0.19657248,,,,,0.626088746,0.445815673,0.4002360092,0.5579830862
79,79,urn:mavedb:00000048-b-1,0,0.4177991034,0.4451017846,0.2525228053,0.2868814926,0.3069852048,0.2720547221,0.3972045624,0.4255303872,0.2551840137,0.3704300143,0.3984766332,0.2628811241,0.3394768552,0.354140338,0.2650652684,0.4443024415,0.4688380066,0.2491098123,,,,,0.4850983681,0.5827563883,0.3388321728,0.4559351015
