variant_out,train_size,train_RMSE,train_MAE,train_R2,train_r,test_size,test_RMSE,test_MAE,test_R2,test_r
1221097,1233,0.08071005070425108,0.054400644756442,0.9499277802084897,0.9773428788700778,1,0.09129932257599249,0.09129932257599249,,
1221337,1233,0.0716891943604206,0.047725080642600136,0.9604872541963775,0.98195268845561,1,0.00884368334304586,0.00884368334304586,,
1220897,1233,0.14211836354096022,0.11093359090243646,0.8447358553458779,0.9474177139968882,1,0.05002328786321408,0.05002328786321408,,
1221281,1233,0.04799484754369891,0.030872521448213088,0.9822903691809107,0.991887040299624,1,1.1510815561277532e-05,1.1510815561277532e-05,,
1222020,1233,0.08022219633644753,0.05429599460527821,0.9505109741470723,0.9777568256690699,1,0.003929559289138407,0.003929559289138407,,
1221401,1233,0.05747483682938355,0.03787706537047452,0.9746085981899482,0.9883370500972433,1,0.0034744595033979753,0.0034744595033979753,,
1221920,1233,0.3525038526300557,0.30908982528752954,0.04496328401978311,0.8883015925596491,1,0.1875584163218328,0.1875584163218328,,
1222218,1233,0.35256157247855224,0.30917412041911974,0.044830803762343385,0.8869865335565801,1,0.055198161024941905,0.055198161024941905,,
1222238,1233,0.04480372913438197,0.028555266220534833,0.9845672046449908,0.992915344366034,1,0.004503463139269526,0.004503463139269526,,
1222298,1233,0.08955729285100521,0.06147865885392675,0.9383225753511644,0.9728176188382831,1,0.00018715292712112586,0.00018715292712112586,,
1221280,1233,0.1018108404570402,0.07151137579386967,0.920307400564305,0.9665960004361689,1,0.00031375257545351865,0.00031375257545351865,,
1222039,1233,0.10895533558708154,0.07870365363800673,0.9086551373881091,0.963382959161093,1,0.00019078707893505076,0.00019078707893505076,,
1221839,1233,0.10297276261595388,0.07331380696059824,0.9183326273687751,0.966349696668376,1,0.0003643792129878892,0.0003643792129878892,,
1222277,1233,0.07290871488615776,0.04840255338108178,0.9591395361945009,0.9813030467131196,1,0.09218998219271213,0.09218998219271213,,
1222002,1233,0.09152412534602153,0.06294286144731742,0.935604066596147,0.971795573792329,1,0.14898095267379097,0.14898095267379097,,
1220842,1233,0.06747648932405004,0.04461689805968274,0.96498273047904,0.9839360097856771,1,0.035773271668049,0.035773271668049,,
1221569,1233,0.08312821384764801,0.05621727357776325,0.9468890748021607,0.9762922426452674,1,0.0001948251535405232,0.0001948251535405232,,
1220909,1233,0.13249055038914445,0.1011110341617974,0.8651063118119018,0.9515473370181755,1,0.007224262861991848,0.007224262861991848,,
1220889,1233,0.10018390075972916,0.0704500983433084,0.9228382036574244,0.9674785966315613,1,0.013059491556818625,0.013059491556818625,,
1222247,1233,0.057001340159724495,0.03770954026776338,0.9750228324738106,0.9885324797719057,1,0.05725561116864275,0.05725561116864275,,
1221923,1233,0.048287180370561275,0.03129581291737481,0.9820659743040598,0.9917413477640076,1,0.06974221677474518,0.06974221677474518,,
1221564,1233,0.35254734141338784,0.3091251798005123,0.04487469029129665,0.8874097046786988,1,0.09852374921344531,0.09852374921344531,,
1222361,1233,0.06314402040973846,0.041367835506504844,0.9693395584894555,0.9859017920270081,1,0.1527806668462693,0.1527806668462693,,
1221084,1233,0.10704103152232951,0.07702934100706448,0.9119414837068958,0.9645424180601343,1,9.337283466348545e-05,9.337283466348545e-05,,
1221304,1233,0.08435890697808704,0.05754917862132113,0.9452834651315623,0.975498368505691,1,0.0002355910180167342,0.0002355910180167342,,
1220844,1233,0.12006121028026778,0.08887882628828794,0.8891740827126484,0.9573797977129915,1,0.000533644205867323,0.000533644205867323,,
1221385,1233,0.2584420041177838,0.22503518941283496,0.4867392355503487,0.9250423853637142,1,0.00042951581933425853,0.00042951581933425853,,
1222223,1233,0.028916662460646995,0.017535738646111604,0.9935683054385073,0.9970681211369663,1,0.03824300424517291,0.03824300424517291,,
1221307,1233,0.08487869916716966,0.05790261900679555,0.9446090992436549,0.9754107992006718,1,0.021396132340380847,0.021396132340380847,,
1221647,1233,0.04309744364661574,0.027599375846535865,0.9856887672886306,0.9934410590944963,1,0.02356544392120786,0.02356544392120786,,
1220967,1233,0.12554180173203003,0.09359094371844971,0.8788445880282861,0.9543555712926308,1,4.803761572180765e-05,4.803761572180765e-05,,
1220947,1233,0.08618326388784779,0.059003790175959546,0.9428970113463955,0.9746007304423852,1,0.013537031668496069,0.013537031668496069,,
1220827,1233,0.09869080151552005,0.06923945251749798,0.9250921312180799,0.9683738779455813,1,0.23380843843500532,0.23380843843500532,,
1222285,1233,0.11005747571208851,0.07874881451326847,0.9069029522481626,0.9622845300060285,1,0.0018862808535062836,0.0018862808535062836,,
1222284,1233,0.1163409723726447,0.08438566641421046,0.8959533296931951,0.9588029703631429,1,0.2232050359489341,0.2232050359489341,,
1221128,1233,0.3369323037796747,0.29541287552819406,0.12721076690616173,0.90349168313665,1,0.2803035530126322,0.2803035530126322,,
1221368,1233,0.08622220126336537,0.05901812713920746,0.9428681434066112,0.9745823755884094,1,0.07935533299438235,0.07935533299438235,,
1221319,1233,0.11569318454234453,0.08490256989326876,0.8971125734579868,0.9600597505178263,1,0.10245764021328585,0.10245764021328585,,
1221459,1233,0.06845602240109579,0.04570073029340782,0.9639678394472673,0.9835088583479084,1,1.377233598054417e-06,1.377233598054417e-06,,
1221798,1233,0.03581104555640668,0.022297524880367875,0.9901250732728897,0.9954674002221223,1,0.007803968223186353,0.007803968223186353,,
